JarHC Report for jarhc-check 1.0.0-SNAPSHOT
===========================================

JAR Files
---------
List of JAR files found in classpath.

JAR file                                                       | Size    | Classes | Resources | Checksum (SHA-1)                         | Artifact coordinates
asm-9.7.jar                                                    | 122 KB  | 38      | 0         | 073d7b3086e14beb604ced229c302feff6449723 | org.ow2.asm:asm:9.7
json-20240303.jar                                              | 76.5 KB | 30      | 0         | 0ebb88e8fb5122b7506d5cf1d69f1ccdb790d22a | org.json:json:20240303
maven-aether-provider-3.3.9.jar                                | 65.3 KB | 26      | 0         | 29e8e7122f7a166ea53785cd75af0ef9d4d848d4 | org.apache.maven:maven-aether-provider:3.3.9
aether-impl-1.1.0.jar                                          | 169 KB  | 96      | 1         | 8236fde6a1a4a7c6018d0a09e476f11c5ca8c2e1 | org.eclipse.aether:aether-impl:1.1.0
aether-connector-basic-1.1.0.jar                               | 35.9 KB | 19      | 1         | f5c784bdd704ff64166c086eb6b31e2784c87b66 | org.eclipse.aether:aether-connector-basic:1.1.0
aether-transport-file-1.1.0.jar                                | 8.71 KB | 4       | 1         | 5c257319ccba22a02fa583c3946bfcbb47638bc8 | org.eclipse.aether:aether-transport-file:1.1.0
aether-util-1.1.0.jar                                          | 146 KB  | 103     | 1         | d0f84ba994f0133580e8b957a44593eaa03d42cd | org.eclipse.aether:aether-util:1.1.0
aether-spi-1.1.0.jar                                           | 30.0 KB | 34      | 1         | a532baa7b965d2893ceace03e804b1882f448052 | org.eclipse.aether:aether-spi:1.1.0
aether-api-1.1.0.jar                                           | 133 KB  | 128     | 1         | 05dd291e788f50dfb48822dab29defc16ad70860 | org.eclipse.aether:aether-api:1.1.0
maven-model-builder-3.3.9.jar                                  | 173 KB  | 121     | 1         | e2055f9adb9f3c9a93e6b36fffe79781a785de2d | org.apache.maven:maven-model-builder:3.3.9
guava-33.1.0-jre.jar                                           | 2.91 MB | 2006    | 0         | 9b7ed39143d59e8eabcc6f91ffe4d23db2efe558 | com.google.guava:guava:33.1.0-jre
aws-java-sdk-xray-1.12.228.jar                                 | 596 KB  | 349     | 0         | 6b13ed6f4822d3dec50302f70b53e1678c5fdf79 | com.amazonaws:aws-java-sdk-xray:1.12.228
aws-java-sdk-core-1.12.228.jar                                 | 1020 KB | 875     | 3         | 98a4789e22ce85e943deecf70a9b6fbf189f8a9d | com.amazonaws:aws-java-sdk-core:1.12.228
httpclient-4.5.14.jar                                          | 767 KB  | 470     | 2         | 1194890e6f56ec29177673f2f12d0b8e627dec98 | org.apache.httpcomponents:httpclient:4.5.14
maven-model-3.3.9.jar                                          | 160 KB  | 54      | 0         | 6efde8cbcb4de4c47f7e9c2a3ab2806022b5c70f | org.apache.maven:maven-model:3.3.9
maven-repository-metadata-3.3.9.jar                            | 26.6 KB | 9       | 0         | 6850232b35e504057d67bde11efddebf6271e1ce | org.apache.maven:maven-repository-metadata:3.3.9
maven-artifact-3.3.9.jar                                       | 53.7 KB | 32      | 0         | 0f43afa184555fbc6e36b3334b17246c39b30f6e | org.apache.maven:maven-artifact:3.3.9
maven-builder-support-3.3.9.jar                                | 14.5 KB | 10      | 0         | a96f29da7623c0e1db9824f628548fe8181f6dd0 | org.apache.maven:maven-builder-support:3.3.9
plexus-utils-3.5.1.jar                                         | 263 KB  | 108     | 3         | c6bfb17c97ecc8863e88778ea301be742c62b06d | org.codehaus.plexus:plexus-utils:3.5.1
commons-codec-1.16.1.jar                                       | 357 KB  | 102     | 128       | 47bd4d333fba53406f6c6c51884ddbca435c8862 | commons-codec:commons-codec:1.16.1
endpoints-spi-2.26.12.jar                                      | 12.9 KB | 6       | 0         | b9f086d15a91f76b6726ef937726e82be9739afe | software.amazon.awssdk:endpoints-spi:2.26.12
checksums-2.26.12.jar                                          | 9.12 KB | 2       | 0         | e663013251e591ac0b18fa0bcf8271d8d02b59b9 | software.amazon.awssdk:checksums:2.26.12
checksums-spi-2.26.12.jar                                      | 7.86 KB | 1       | 0         | f1f4a9630630cc79dbe1b6b143473807e0b1554e | software.amazon.awssdk:checksums-spi:2.26.12
annotations-2.26.12.jar                                        | 13.4 KB | 13      | 0         | 3d24da760a18de1f91292795b6b649190696ed86 | software.amazon.awssdk:annotations:2.26.12
third-party-jackson-core-2.26.12.jar                           | 522 KB  | 174     | 0         | 4e1ab934ca9fbf0dd8670e72135880dc814273a3 | software.amazon.awssdk:third-party-jackson-core:2.26.12
joda-time-2.10.8.jar                                           | 629 KB  | 247     | 485       | b0442d652c209a7ba7af0410ce219d997a447701 | joda-time:joda-time:2.10.8
plexus-component-annotations-1.6.jar                           | 4.17 KB | 3       | 0         | 1a34a4e12b5fded8c548a568f463dfee21500927 | org.codehaus.plexus:plexus-component-annotations:1.6
commons-lang3-3.4.jar                                          | 424 KB  | 224     | 0         | 5fe28b9518e58819180a43a850fbc0dd24b7c050 | org.apache.commons:commons-lang3:3.4
failureaccess-1.0.2.jar                                        | 4.63 KB | 2       | 0         | c4a06a64e650562f30b7bf9aaec1bfed43aca12b | com.google.guava:failureaccess:1.0.2
listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar | 2.15 KB | 0       | 0         | b421526c5f297295adef1c886e5246c39d4ac629 | com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava
jsr305-3.0.2.jar                                               | 19.5 KB | 35      | 0         | 25ea2e8b0c338a877313bd4672d3fe056ea78f0d | com.google.code.findbugs:jsr305:3.0.2
checker-qual-3.42.0.jar                                        | 225 KB  | 369     | 0         | 638ec33f363a94d41a4f03c3e7d3dcfba64e402d | org.checkerframework:checker-qual:3.42.0
error_prone_annotations-2.26.1.jar                             | 18.9 KB | 27      | 0         | c1fde57694bdc14e8618899aaa6e857d9465d7de | com.google.errorprone:error_prone_annotations:2.26.1
httpcore-4.4.16.jar                                            | 320 KB  | 253     | 1         | 51cf043c87253c9f58b539c9f7e44c8894223850 | org.apache.httpcomponents:httpcore:4.4.16
jmespath-java-1.12.228.jar                                     | 26.9 KB | 29      | 0         | fdb8b04b9615a4389da87a25021742ebcee527fe | com.amazonaws:jmespath-java:1.12.228
plexus-interpolation-1.21.jar                                  | 61.0 KB | 44      | 0         | f92de59d295f16868001644acc21720f3ec9eb15 | org.codehaus.plexus:plexus-interpolation:1.21
reactive-streams-1.0.4.jar                                     | 11.4 KB | 13      | 0         | 3864a1320d97d7b045f729a326e1e077661f31b7 | org.reactivestreams:reactive-streams:1.0.4
eventstream-1.0.1.jar                                          | 29.5 KB | 19      | 0         | 6ff8649dffc5190366ada897ba8525a836297784 | software.amazon.eventstream:eventstream:1.0.1
ion-java-1.0.2.jar                                             | 552 KB  | 336     | 0         | ee9dacea7726e495f8352b81c12c23834ffbc564 | software.amazon.ion:ion-java:1.0.2
jackson-annotations-2.12.6.jar                                 | 73.9 KB | 71      | 0         | 9487231edd6b0b1f14692c9cba9e0462809215d1 | com.fasterxml.jackson.core:jackson-annotations:2.12.6
jackson-core-2.12.6.jar                                        | 357 KB  | 124     | 0         | 5bf206c0b5982cfcd868b3d9349dc5190db8bab5 | com.fasterxml.jackson.core:jackson-core:2.12.6
jackson-dataformat-cbor-2.12.6.jar                             | 60.1 KB | 14      | 0         | 3cd2e6a538f73483c6c59c354ce2276bcdc5ba7b | com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.12.6
jackson-databind-2.12.6.1.jar                                  | 1.45 MB | 700     | 0         | df01cc0c2d4acb913d73d587274986a12e3dec8c | com.fasterxml.jackson.core:jackson-databind:2.12.6.1
Classpath                                                      | 21.6 MB | 13451   | 646       | -                                        | -

Modules
-------
List of Java Modules found in classpath.

JAR file                                                       | Module name                                         | Definition     | Automatic | Requires                         | Exports
---------------------------------------------------------------+-----------------------------------------------------+----------------+-----------+----------------------------------+--------------------------------------------------
jarhc-check-1.0.0-SNAPSHOT.jar                                 | jarhc.check                                         | Auto-generated | Yes       | -                                | [all packages]
shared-1.0.0-SNAPSHOT.jar                                      | shared                                              | Auto-generated | Yes       | -                                | [all packages]
jarhc-2.2.0.jar                                                | org.jarhc                                           | Manifest       | Yes       | -                                | [all packages]
slf4j-simple-2.0.13.jar                                        | org.slf4j.simple                                    | Module-Info    | No        | org.slf4j                        | org.slf4j.simple
                                                               |                                                     |                |           | java.base                        |
jul-to-slf4j-2.0.13.jar                                        | jul.to.slf4j                                        | Module-Info    | No        | org.slf4j                        | org.slf4j.bridge
                                                               |                                                     |                |           | java.logging                     |
                                                               |                                                     |                |           | java.base                        |
aether-transport-http-1.1.0.jar                                | aether.transport.http                               | Auto-generated | Yes       | -                                | [all packages]
jcl-over-slf4j-2.0.13.jar                                      | org.apache.commons.logging                          | Module-Info    | No        | org.slf4j                        | org.apache.commons.logging
                                                               |                                                     |                |           | java.base                        |
url-connection-client-2.26.12.jar                              | software.amazon.awssdk.http.urlconnection           | Manifest       | Yes       | -                                | [all packages]
lambda-2.26.12.jar                                             | software.amazon.awssdk.services.lambda              | Manifest       | Yes       | -                                | [all packages]
s3-2.26.12.jar                                                 | software.amazon.awssdk.services.s3                  | Manifest       | Yes       | -                                | [all packages]
aws-json-protocol-2.26.12.jar                                  | software.amazon.awssdk.protocols.json               | Manifest       | Yes       | -                                | [all packages]
aws-xml-protocol-2.26.12.jar                                   | software.amazon.awssdk.protocols.xml                | Manifest       | Yes       | -                                | [all packages]
aws-query-protocol-2.26.12.jar                                 | software.amazon.awssdk.protocols.query              | Manifest       | Yes       | -                                | [all packages]
protocol-core-2.26.12.jar                                      | software.amazon.awssdk.protocols.core               | Manifest       | Yes       | -                                | [all packages]
aws-core-2.26.12.jar                                           | software.amazon.awssdk.awscore                      | Manifest       | Yes       | -                                | [all packages]
auth-2.26.12.jar                                               | software.amazon.awssdk.auth                         | Manifest       | Yes       | -                                | [all packages]
regions-2.26.12.jar                                            | software.amazon.awssdk.regions                      | Manifest       | Yes       | -                                | [all packages]
sdk-core-2.26.12.jar                                           | software.amazon.awssdk.core                         | Manifest       | Yes       | -                                | [all packages]
http-auth-aws-2.26.12.jar                                      | software.amazon.awssdk.http.auth.aws                | Manifest       | Yes       | -                                | [all packages]
http-auth-2.26.12.jar                                          | software.amazon.awssdk.http.auth                    | Manifest       | Yes       | -                                | [all packages]
http-auth-spi-2.26.12.jar                                      | software.amazon.awssdk.http.auth.spi                | Manifest       | Yes       | -                                | [all packages]
http-client-spi-2.26.12.jar                                    | software.amazon.awssdk.http                         | Manifest       | Yes       | -                                | [all packages]
